"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.5693658536586","65.9880243902439","66.3655365853659","66.7139756097561","67.0442926829268","67.369756097561","67.699","68.0346829268293","68.3771463414634","68.7284146341464","69.0861463414634","69.4460975609756","69.7986585365854","70.1396585365854","70.4652926829268","70.7778048780488","71.0808292682927","71.3777073170732","71.6697804878049","71.9528536585366","72.2201463414634","72.4623414634146","72.6731951219512","72.8490243902439","72.989756097561","73.0979756097561","73.1793658536585","73.2427073170732","73.296243902439","73.3444878048781","73.3899756097561","73.4331219512195","73.471756097561","73.5053170731707","73.535756097561","73.5636097560976","73.5894390243902","73.6148048780488","73.6422926829268","73.6753902439025","73.7206097560976","73.7829024390244","73.865243902439","73.9685609756098","74.0908536585366","74.2280731707317","74.3757073170732","74.526243902439","74.6742195121951","74.8161463414634","74.9520243902439","75.0803902439025","75.206756097561","75.3321707317073","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","31.5800487804878","32.0959756097561","32.6118780487805","33.1273170731707","33.641243902439","34.1536829268293","34.6631219512195","35.1700731707317","35.6720243902439","36.1699756097561","36.6594390243902","37.1394146341463","37.6088780487805","38.0693414634146","38.5232926829268","38.9702682926829","39.4107317073171","39.8477073170732","40.2906829268293","40.7481707317073","41.2336585365854","41.7606341463415","42.3356097560976","42.9630487804878","43.6444878048781","44.3799024390244","45.1688048780488","45.9972195121951","46.8501463414634","47.7115853658537","48.5670487804878","49.4045609756098","50.2131219512195","50.985243902439","51.7093902439024","52.3750731707317","52.9727804878049","53.5084878048781","53.9921951219512","54.4328780487805","54.8485609756098","55.2562195121951","55.6718780487805","56.1075609756098","56.5697317073171","57.0584390243903","57.5706585365854","58.0913658536585","58.6070975609756","59.1123414634146","59.6000975609756","60.0653658536585","60.5091219512195","60.9314146341464","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.9848292682927","33.3862195121951","33.7875853658537","34.1884634146342","34.5903414634146","34.9922195121951","35.3950975609756","35.7999756097561","36.2058536585366","36.610243902439","37.0151219512195","37.4210243902439","37.8269268292683","38.2268292682927","38.6137804878049","38.9758048780488","39.301","39.5813658536585","39.8158536585366","40.0053902439024","40.159243902439","40.2886585365854","40.408","40.528243902439","40.6539512195122","40.7777804878049","40.887487804878","40.9738780487805","41.0377073170732","41.0876585365854","41.1383414634146","41.2063414634146","41.3130243902439","41.4781951219512","41.716243902439","42.0514634146341","42.5016341463415","43.0621219512195","43.7142682926829","44.439","45.2047804878049","45.9731463414634","46.7117317073171","47.3931707317073","48.003512195122","48.5388048780488","49.0070487804878","49.4357317073171","49.8473902439024","50.2510243902439","50.6541707317073","51.0593170731707","51.464","51.8661707317073","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.2543658536585","63.2734634146342","64.1628536585366","64.8870975609756","65.4381951219512","65.8273902439024","66.0893170731707","66.2872195121951","66.4749512195122","66.6816097560976","66.9325853658537","67.2388780487805","67.5859512195122","67.9579512195122","68.3483414634146","68.7412195121951","69.115512195122","69.4561707317073","69.754243902439","70.0096585365854","70.2359756097561","70.4544634146341","70.6851219512195","70.9373902439024","71.2065365853659","71.4712195121951","71.6975609756098","71.8619512195122","71.9532926829268","71.9785853658537","71.9573170731707","71.9184146341463","71.9008048780488","71.9358536585366","72.0419512195122","72.2360243902439","72.5274146341463","72.8980975609756","73.3265853658537","73.7933902439025","74.2720731707317","74.7342195121951","75.1579512195122","75.5293658536585","75.839","76.0893902439024","76.2905365853659","76.4648536585366","76.6323170731707","76.8018780487805","76.978512195122","77.1632195121951","77.3504634146341","77.537243902439","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.7626948487698","47.3886012523636","48.0024362848562","48.6075914114887","49.2051183808741","49.7914045678784","50.3589541965903","50.905413153209","51.4334852848555","51.9513290153571","52.4709959399831","53.0083619193445","53.5723436001116","54.1636761089559","54.7769877624706","55.4033461995128","56.0311575745756","56.6507627511064","57.2611954181524","57.8695923196315","58.4883194621559","59.1291505570511","59.7955841653011","60.4824444104693","61.1740084204557","61.852546270245","62.4979148859895","63.0952038121797","63.6349202607101","64.1145227657343","64.628993874698","65.0062008997062","65.2977942827889","65.6318686978534","65.9683756824448","66.3439716730163","66.653312850836","66.9474800496324","67.2092381924906","67.4571274690848","67.6698664492601","67.8691990538917","68.0528188195575","68.2280907596357","68.4106276915128","68.5959457813999","68.7941758865628","68.99364675255","69.1879394678426","69.381597040577","69.5716610189876","69.7462172484541","69.9168502398895","70.0863921597031","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.2432195121951","53.2865609756098","54.327","55.363512195122","56.3925853658537","57.4057073170732","58.3918536585366","59.3404634146342","60.2440487804878","61.0985853658537","61.9010487804878","62.6549512195122","63.3663170731707","64.0431219512195","64.6889024390244","65.3051463414634","65.8933414634146","66.454","66.9886097560976","67.4971707317073","67.9831951219512","68.4451707317073","68.8840975609756","69.3014878048781","69.6983170731707","70.0766341463415","70.4363902439024","70.7781219512195","71.1048292682927","71.418","71.7206341463415","72.013756097561","72.2993414634146","72.5779024390244","72.8519268292683","73.1219024390244","73.3878292682927","73.6497317073171","73.9055853658537","74.1579024390244","74.4056829268293","74.6494634146342","74.8892195121951","75.1244878048781","75.3557317073171","75.5819512195122","75.8001219512195","76.0112195121951","76.214756097561","76.4107073170732","76.5986097560976","76.781","76.9578780487805","77.1312926829268","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.2155365853659","65.338512195122","65.4326097560976","65.5093902439024","65.5824146341463","65.6686829268293","65.782243902439","65.9300243902439","66.113487804878","66.3350975609756","66.5908292682927","66.8731219512195","67.1679512195122","67.4653170731707","67.7586585365854","68.0479512195122","68.3367073170732","68.6294390243903","68.9266341463415","69.2243170731707","69.5144878048781","69.7866585365854","70.0353170731707","70.257","70.4541951219512","70.6313902439024","70.7990731707317","70.967756097561","71.1459024390244","71.3375365853659","71.5436585365854","71.7632926829268","71.9889512195122","72.2156585365854","72.4413902439024","72.6646097560976","72.8853170731707","73.1039756097561","73.3200731707317","73.5341219512195","73.7456585365854","73.9536829268293","74.1587804878049","74.3599512195122","74.5577317073171","74.7516585365854","74.9412195121951","75.1269024390244","75.3081951219512","75.4870975609756","75.6635609756098","75.8386097560976","76.0126829268293","76.1872926829268","",
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.8634634146342","66.2843902439024","66.7098536585366","67.1378536585366","67.5654146341463","67.9915365853659","68.4147317073171","68.8304878048781","69.2292682926829","69.6000487804878","69.9242682926829","70.1828780487805","70.3673414634146","70.4796585365854","70.5263414634146","70.5319268292683","70.5294146341464","70.5429024390244","70.5829756097561","70.6412682926829","70.6845365853659","70.6616097560976","70.535512195122","70.2901463414634","69.9356829268293","69.5","69.0242926829268","68.5675609756098","68.1820975609756","67.899512195122","67.7478048780488","67.7382926829268","67.8533414634147","68.0695609756098","68.3766585365854","68.7635609756098","69.2168536585366","69.7164146341464","70.2402195121951","70.7670975609756","71.2765365853658","71.7556585365854","72.202243902439","72.6109756097561","72.9749268292683","73.2885609756098","73.5498292682927","73.7646341463415","73.9438780487805","74.0930487804878","74.2196585365854","74.3321951219512","74.4372195121951","74.540756097561","",
"American Samoa","ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
